sample_id,question,gold_first,prediction,upstream_parsed_answer,status,runtime_status,em,f1,baseline_prediction,baseline_em,baseline_f1,windows,model_calls,input_tokens,output_tokens,deferred_promoted,cross_window_promoted,unresolved_queries,error,trajectory,error_type,protocol_valid,protocol_repair_failure_count
dev_8525,"Did the movies Heart Of Love (Film) and Sparkle (1976 Film), originate from the same country?",no,No,No,OK,ANSWERED,1.0,1.0,,,,2,9,12151,666,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_8525-v5_predicted-original-43e2d168.json,,True,0
dev_8792,Are Paula Arundell and Trent Grimsey both from the same country?,yes,yes,yes,OK,ANSWERED,1.0,1.0,,,,1,5,8470,333,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_8792-v5_predicted-original-08876b46.json,,True,0
dev_5902,"Which film was released earlier, A Summer In The Cage or Haan Maine Bhi Pyaar Kiya?",Haan Maine Bhi Pyaar Kiya,Haan Maine Bhi Pyaar Kiya,Haan Maine Bhi Pyaar Kiya,OK,ANSWERED,1.0,1.0,,,,2,8,11789,480,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_5902-v5_predicted-original-d5a12b89.json,,True,0
dev_4533,What is the place of birth of the director of film It'S The Rage (Film)?,U.S.A.,Italy,Italy,OK,ANSWERED,0.0,0,,,,2,11,19945,449,1,1,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4533-v5_predicted-original-9b99b14c.json,,True,0
dev_2828,What nationality is the director of film Prince Or Clown?,USSR,Russian,Russian,OK,ANSWERED,0.0,0,,,,1,5,8113,198,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_2828-v5_predicted-original-bc1eef6e.json,,True,0
dev_1739,"Which film has the director who was born first, Days Of Eclipse or City Of Silent Men?",City Of Silent Men,City of Silent Men,City of Silent Men,OK,ANSWERED,1.0,1.0,,,,1,7,9322,710,1,0,"['Q2', 'Q4', 'Q5']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1739-v5_predicted-original-595facc1.json,,True,0
dev_4288,Who is Sirikitiya Jensen's maternal grandmother?,Sirikit Kitiyakara,Queen Sirikit,Queen Sirikit,OK,ANSWERED,0.0,0.5,,,,1,7,10184,512,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4288-v5_predicted-original-317938f0.json,,True,0
dev_3512,"Which film was released first, Arthur 2: On The Rocks or The Opposite Sex And How To Live With Them?",Arthur 2: On The Rocks,Arthur 2: On The Rocks,Arthur 2: On The Rocks,OK,ANSWERED,1.0,1.0,,,,2,6,10312,517,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_3512-v5_predicted-original-eb209bfa.json,,True,0
dev_420,"Which film has the director died later, Excursion Train or Bad Day At Black Rock?",Bad Day At Black Rock,Bad Day At Black Rock,Bad Day At Black Rock,OK,ANSWERED,1.0,1.0,,,,2,9,22604,6650,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_420-v5_predicted-original-98487e80.json,,False,1
dev_10497,Who is the maternal grandmother of Countess Ferdinande Henriette Of Stolberg-Gedern?,Magdalene Sibylle of Holstein-Gottorp,Princess Elisabeth Sophie of Brandenburg-Schwedt,Princess Elisabeth Sophie of Brandenburg-Schwedt,OK,ANSWERED,0.0,0.22222222222222224,,,,2,7,12391,1374,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_10497-v5_predicted-original-9699708d.json,,True,0
dev_4264,"Who is Jacques, Hereditary Prince Of Monaco's paternal grandfather?",Rainier III,Prince Rainier III,Prince Rainier III,OK,ANSWERED,0.0,0.8,,,,2,8,13318,393,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4264-v5_predicted-original-e30be221.json,,False,1
dev_4452,"Which film has the director who was born later, Angel'S Fall or Woman To Woman (1947 Film)?",Angel'S Fall,Angel's Fall,Angel's Fall,OK,ANSWERED,1.0,1.0,,,,2,12,16126,908,2,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4452-v5_predicted-original-808fdbe1.json,,True,0
dev_3169,"Which film came out earlier, Confusion Na Wa or Bloodfist Iii: Forced To Fight?",Bloodfist III: Forced to Fight,Bloodfist III: Forced to Fight,Bloodfist III: Forced to Fight,OK,ANSWERED,1.0,1.0,,,,2,6,10617,420,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_3169-v5_predicted-original-b5efbf22.json,,True,0
dev_2700,"Which film whose director is younger, Lucky Cowboy or O.K. Connery?",O.K. Connery,O.K. Connery,O.K. Connery,OK,ANSWERED,1.0,1.0,,,,2,12,23378,1302,1,0,"['Q4', 'Q5']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_2700-v5_predicted-original-74589a2f.json,,False,1
dev_5076,Where was the place of death of Agnes Of Hohenstaufen's husband?,Brunswick,Landsberg am Lech,Landsberg am Lech,OK,ANSWERED,0.0,0,,,,2,6,9578,328,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_5076-v5_predicted-original-2625bbf0.json,,True,0
dev_4745,Do director of film Trouble In The Glen and director of film Hennessy (Film) have the same nationality?,yes,Yes,Yes,OK,ANSWERED,1.0,1.0,,,,2,12,16951,960,2,1,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4745-v5_predicted-original-4583e8a4.json,,True,0
dev_10272,"Which film has the director born first, Bordello Of Blood or The Cat In The Bag?",The Cat In The Bag,The Cat In The Bag,The Cat In The Bag,OK,ANSWERED,1.0,1.0,,,,2,13,19481,1067,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_10272-v5_predicted-original-d7d5dfbf.json,,True,0
dev_11991,"Which film has the director died first, Kid With The Golden Arm or Corazón De Criolla?",Corazón de criolla,Corazón De Criolla,Corazón De Criolla,OK,ANSWERED,1.0,1.0,,,,2,11,17948,1436,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_11991-v5_predicted-original-89e5cceb.json,,False,1
dev_6101,"Who is younger, Andrea Grendene or Jung Il-Woo?",Jeong Il U,Jung Il-Woo,Jung Il-Woo,OK,ANSWERED,0.0,0,,,,2,8,13209,971,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_6101-v5_predicted-original-b3c0cc2f.json,,True,0
dev_1420,"Who was born later, Claude-François-Dorothée, Marquis De Jouffroy D'Abbans or Marie De La Tour D'Auvergne?","Claude-François-Dorothée, Marquis De Jouffroy D'Abbans","Claude-François-Dorothée, Marquis De Jouffroy D'Abbans","Claude-François-Dorothée, Marquis De Jouffroy D'Abbans",OK,ANSWERED,1.0,1.0,,,,2,12,24434,885,1,1,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1420-v5_predicted-original-3c2e9aa3.json,,True,0
dev_9926,"Which film came out first, La Casa Stregata or I Bury The Living?",I Bury The Living,I Bury The Living,I Bury The Living,OK,ANSWERED,1.0,1.0,,,,2,7,14685,870,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_9926-v5_predicted-original-74c2958d.json,,True,0
dev_5528,What is the place of birth of Elijah Blue Allman's father?,"Nashville, Tennessee","Nashville, Tennessee","Nashville, Tennessee",OK,ANSWERED,1.0,1.0,,,,2,10,19608,445,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_5528-v5_predicted-original-a8ac4ff8.json,,True,0
dev_11005,Where was the place of death of the director of film The First Day Of Freedom?,State of Florida,Warsaw,Warsaw,OK,ANSWERED,0.0,0,,,,2,11,19305,477,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_11005-v5_predicted-original-b20ed758.json,,True,0
dev_6355,"Did the movies The Veteran Of Waterloo and Believe Me, Xantippe, originate from the same country?",no,Yes,Yes,OK,ANSWERED,0.0,0,,,,2,11,24382,796,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_6355-v5_predicted-original-9c519b38.json,,False,1
dev_8289,What is the place of birth of the director of film Aashiq (2001 Film)?,Gujarat,Delhi,Delhi,OK,ANSWERED,0.0,0,,,,2,6,15356,183,0,0,"['Q1', 'Q2']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_8289-v5_predicted-original-8567f8de.json,,True,0
dev_4077,"Which film came out first, Forgotten Pills or Why Does Herr R. Run Amok??",Why Does Herr R. Run Amok?,Why Does Herr R. Run Amok?,Why Does Herr R. Run Amok?,OK,ANSWERED,1.0,1.0,,,,2,7,14365,692,0,0,['Q1'],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4077-v5_predicted-original-5f743b5d.json,,True,0
dev_2912,Do both directors of films Cold Weather and The Phantom Buster have the same nationality?,no,no,no,OK,ANSWERED,1.0,1.0,,,,2,10,19400,1199,0,0,"['Q4', 'Q5']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_2912-v5_predicted-original-ab06648c.json,,True,0
dev_4052,"Which film came out earlier, Closely Watched Trains or Det Sande Ansigt?",Det Sande Ansigt,Det Sande Ansigt,Det Sande Ansigt,OK,ANSWERED,1.0,1.0,,,,2,9,12448,516,0,0,['Q3'],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4052-v5_predicted-original-ec7f938a.json,,True,0
dev_7759,"Which film has the director born later, Nude On The Moon or Belphegor, Phantom Of The Louvre?","Belphegor, Phantom of the Louvre","Belphegor, Phantom Of The Louvre","Belphegor, Phantom Of The Louvre",OK,ANSWERED,1.0,1.0,,,,2,10,17063,876,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_7759-v5_predicted-original-73caf4ba.json,,True,0
dev_4587,"Which film has the director who died later, Invasion Of The Bee Girls or Children, Mother, And The General?","Children, Mother, and the General",Invasion of the Bee Girls,Invasion of the Bee Girls,OK,ANSWERED,0.0,0,,,,2,14,20534,1211,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4587-v5_predicted-original-52cc2c86.json,,False,1
dev_1463,"Which film has the director born later, Time Out For Romance or The Warrior Queen Of Jhansi?",Swords and Sceptres,The Warrior Queen Of Jhansi,The Warrior Queen Of Jhansi,OK,ANSWERED,0.0,0,,,,2,15,22230,1242,2,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1463-v5_predicted-original-99c045af.json,,True,0
dev_8972,"Which film was released first, The First 7Th Night or Aansoo Ban Gaye Phool?",Aansoo Ban Gaye Phool,Aansoo Ban Gaye Phool,Aansoo Ban Gaye Phool,OK,ANSWERED,1.0,1.0,,,,2,8,18865,832,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_8972-v5_predicted-original-47d85ae6.json,,True,0
dev_4919,Does Frederick Samuel Fish have the same nationality as Beatrix Tugendhut Gardner?,yes,No,No,OK,ANSWERED,0.0,0,,,,2,8,14954,810,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4919-v5_predicted-original-29c9de54.json,,True,0
dev_118,"Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?","It's a Joke, Son!","It'S A Joke, Son!","It'S A Joke, Son!",OK,ANSWERED,1.0,1.0,,,,2,17,26341,1684,1,0,['Q5'],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_118-v5_predicted-original-05d7c0a6.json,,False,1
dev_4783,"Which film has the director who was born first, Our Crazy Aunts or Dearest (2014 Film)?",Our Crazy Aunts,Our Crazy Aunts,Our Crazy Aunts,OK,ANSWERED,1.0,1.0,,,,2,15,22955,1380,2,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4783-v5_predicted-original-6ca99379.json,,True,0
dev_9377,Which country Elizabeth Bruce's father is from?,Scotland,Scotland,Scotland,OK,ANSWERED,1.0,1.0,,,,2,6,10313,178,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_9377-v5_predicted-original-d19aa6a4.json,,True,0
dev_11549,Who is Stateira (Wife Of Artaxerxes Ii)'s father-in-law?,Darius II,Darius II,Darius II,OK,ANSWERED,1.0,1.0,,,,2,8,16793,542,0,0,"['Q2', 'Q3']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_11549-v5_predicted-original-a566cc0d.json,,True,0
dev_5107,"Which film was released more recently, The Silver Trail or Raja Nandini?",Raja Nandini,Raja Nandini,Raja Nandini,OK,ANSWERED,1.0,1.0,,,,2,8,11845,433,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_5107-v5_predicted-original-0b3a9a53.json,,True,0
dev_12537,Are Do Frade River and Vermelho River (Manuel Alves Grande River) located in the same country?,yes,Yes,Yes,OK,ANSWERED,1.0,1.0,,,,1,7,9346,477,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_12537-v5_predicted-original-bbfbd37e.json,,True,0
dev_8329,Are director of film Faults (Film) and director of film Fair Exchange (Film) both from the same country?,yes,yes,yes,OK,ANSWERED,1.0,1.0,,,,2,13,14856,3744,2,0,['Q5'],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_8329-v5_predicted-original-6d2be9e5.json,,True,0
dev_3196,Where did the creator of The Muppets On Puppets study?,Maryland Agricultural College,University of Maryland,University of Maryland,OK,ANSWERED,0.0,0.3333333333333333,,,,2,9,12249,595,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_3196-v5_predicted-original-132ad19d.json,,False,1
dev_6782,"Where was the place of burial of the director of film My Daughter, The Socialist?",First Cemetery of Athens,First Cemetery of Athens,First Cemetery of Athens,OK,ANSWERED,1.0,1.0,,,,2,6,17156,290,0,0,"['Q1', 'Q2']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_6782-v5_predicted-original-b83244eb.json,,True,0
dev_6942,Where did Shahrzad Mojab's husband graduate from?,Tehran University,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,OK,ANSWERED,0.0,0.28571428571428575,,,,2,10,20699,501,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_6942-v5_predicted-original-03394569.json,,True,0
dev_9812,"Which film has the director who was born later, Utah Blaine or Poison Friends?",Poison Friends,Cannot be determined,Cannot be determined,OK,ANSWERED,0.0,0,,,,2,8,13176,1934,0,0,"['Q1', 'Q3', 'Q5']",,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_9812-v5_predicted-original-52baa756.json,,False,1
dev_4721,"Which film has the director died later, Radio Magic or My Wedding Night?",My Wedding Night,My Wedding Night,My Wedding Night,OK,ANSWERED,1.0,1.0,,,,2,17,24283,1717,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4721-v5_predicted-original-8bd3f101.json,,False,1
dev_7062,"Are the movies The Road To Divorce and Want So Much To Believe, from the same country?",no,no,no,OK,ANSWERED,1.0,1.0,,,,2,8,11467,433,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_7062-v5_predicted-original-c9e13022.json,,True,0
dev_7395,Who is the paternal grandfather of Catherine Of Masovia?,"Siemowit III, Duke of Masovia",Casimir I of Mazovia,Casimir I of Mazovia,OK,ANSWERED,0.0,0.22222222222222224,,,,2,7,12335,475,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_7395-v5_predicted-original-d9c2bd4f.json,,True,0
dev_2643,"Do the movies Little Bitches and Moving Out (Film), originate from the same country?",no,no,no,OK,ANSWERED,1.0,1.0,,,,1,5,8027,437,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_2643-v5_predicted-original-1ec89d65.json,,True,0
dev_3821,Who is the spouse of the director of film Mcdull: Me & My Mum?,Mai Jiabi,Alice Mak,Alice Mak,OK,ANSWERED,0.0,0,,,,2,10,21822,720,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_3821-v5_predicted-original-13b3746e.json,,True,0
dev_4998,Who is the mother-in-law of Adelaide Of Hungary (D. 1140)?,Świętosława of Poland,Predslava of Kiev,Predslava of Kiev,OK,ANSWERED,0.0,0.3333333333333333,,,,2,7,12237,1170,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4998-v5_predicted-original-6b0a8702.json,,True,0
dev_4254,Where was the father of Bonne Of Bourbon born?,Poitiers,Moulins,Moulins,OK,ANSWERED,0.0,0,,,,2,11,16191,1468,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_4254-v5_predicted-original-1a808756.json,,True,0
dev_708,Where did Judith Of Swabia's mother die?,Roma,"Vienne, France","Vienne, France",OK,ANSWERED,0.0,0,,,,2,11,23222,435,0,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_708-v5_predicted-original-500f0347.json,,True,0
dev_1328,Where did Ragnall Guthfrithson's father die?,Dublin,Dublin,Dublin,OK,ANSWERED,1.0,1.0,,,,2,10,21236,759,1,0,[],,results/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5/trajectories/v51-2wiki50-seed4-full128-node199-protocol-v4-retry5-dev_1328-v5_predicted-original-2467b46b.json,,True,0
